,Anho,Ciclo,Cod.Asign,Asignatura,Cod.Curso,Aprobado,1P,2P,RecursaConFirma,Taller,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
196,2017,1,13008,CALCULO 2,2,True,24,14,True,0,True,0,0,es_5991,4.0
197,2017,1,13008,CALCULO 2,2,True,17,17,True,0,True,0,0,es_5319,2.0
199,2017,1,13008,CALCULO 2,2,True,19,18,True,0,True,0,0,es_5323,5.0
200,2017,1,13008,CALCULO 2,2,True,22,32,True,0,True,0,0,es_6002,5.0
201,2017,1,13008,CALCULO 2,2,False,13,11,False,0,False,0,0,es_5330,0.0
202,2017,1,13008,CALCULO 2,2,True,23,5,True,0,True,0,0,es_5331,3.0
203,2017,1,13008,CALCULO 2,2,True,22,14,True,0,True,0,0,es_6006,5.0
204,2017,1,13008,CALCULO 2,2,True,17,15,True,0,True,0,0,es_6009,4.0
205,2017,1,13008,CALCULO 2,2,True,17,18,True,0,True,0,0,es_6012,2.0
206,2017,1,13008,CALCULO 2,2,False,16,8,False,0,False,0,0,es_5335,0.0
207,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4792,0.0
208,2017,1,13008,CALCULO 2,2,True,17,26,True,0,True,0,0,es_5336,3.0
209,2017,1,13008,CALCULO 2,2,True,21,25,True,0,True,0,0,es_6015,5.0
210,2017,1,13008,CALCULO 2,2,True,24,34,True,0,True,0,0,es_4798,5.0
211,2017,1,13008,CALCULO 2,2,False,22,4,False,0,False,0,0,es_5345,0.0
212,2017,1,13008,CALCULO 2,2,True,19,21,True,0,True,0,0,es_6026,5.0
213,2017,1,13008,CALCULO 2,2,True,17,20,True,0,True,0,0,es_6030,2.0
215,2017,1,13008,CALCULO 2,2,True,20,15,True,0,True,0,0,es_5348,3.0
216,2017,1,13008,CALCULO 2,2,True,22,16,True,0,True,0,0,es_6041,3.0
217,2017,1,13008,CALCULO 2,2,True,23,28,True,0,True,0,0,es_6043,5.0
218,2017,1,13008,CALCULO 2,2,True,21,8,True,0,True,0,0,es_6044,4.0
219,2017,1,13008,CALCULO 2,2,False,18,6,False,0,False,0,0,es_6045,0.0
220,2017,1,13008,CALCULO 2,2,True,20,19,True,0,True,0,0,es_6048,4.0
221,2017,1,13008,CALCULO 2,2,True,15,11,True,0,True,0,0,es_6049,3.0
222,2017,1,13008,CALCULO 2,2,True,14,27,True,0,True,0,0,es_4807,4.0
223,2017,1,13008,CALCULO 2,2,True,21,30,True,0,True,0,0,es_6056,5.0
224,2017,1,13008,CALCULO 2,2,True,23,16,True,0,True,0,0,es_6057,4.0
225,2017,1,13008,CALCULO 2,2,True,22,12,True,0,True,0,0,es_6058,4.0
226,2017,1,13008,CALCULO 2,2,False,18,5,True,0,True,0,0,es_5357,1.0
227,2017,1,13008,CALCULO 2,2,True,20,25,True,0,True,0,0,es_5359,4.0
228,2017,1,13008,CALCULO 2,2,False,13,16,True,0,True,0,0,es_6060,0.0
230,2017,1,13008,CALCULO 2,2,True,17,12,True,0,True,0,0,es_5360,2.0
231,2017,1,13008,CALCULO 2,2,True,24,5,True,0,True,0,0,es_5362,3.0
232,2017,1,13008,CALCULO 2,2,True,24,32,True,0,True,0,0,es_6066,5.0
233,2017,1,13008,CALCULO 2,2,True,16,29,True,0,True,0,0,es_6070,5.0
234,2017,1,13008,CALCULO 2,2,True,20,25,True,0,True,0,0,es_5364,3.0
235,2017,1,13008,CALCULO 2,2,False,17,6,False,0,False,0,0,es_4465,0.0
236,2017,1,13008,CALCULO 2,2,True,17,19,True,0,True,0,0,es_4813,3.0
237,2017,1,13008,CALCULO 2,2,True,16,24,True,0,True,0,0,es_6074,4.0
238,2017,1,13008,CALCULO 2,2,True,24,25,True,0,True,0,0,es_6077,5.0
239,2017,1,13008,CALCULO 2,2,True,21,19,True,0,True,0,0,es_6080,4.0
240,2017,1,13008,CALCULO 2,2,True,14,26,True,0,True,0,0,es_5374,3.0
241,2017,1,13008,CALCULO 2,2,False,16,0,False,0,False,0,0,es_5375,0.0
242,2017,1,13008,CALCULO 2,2,True,18,17,True,0,True,0,0,es_5376,3.0
245,2017,1,13008,CALCULO 2,2,True,24,23,True,0,True,0,0,es_5380,5.0
247,2017,1,13008,CALCULO 2,2,False,13,7,False,0,False,0,0,es_5386,0.0
248,2017,1,13008,CALCULO 2,2,False,21,0,False,0,False,0,0,es_5388,0.0
249,2017,1,13008,CALCULO 2,2,False,15,3,False,0,False,0,0,es_5389,0.0
250,2017,1,13008,CALCULO 2,2,False,19,0,False,0,False,0,0,es_6099,0.0
251,2017,1,13008,CALCULO 2,2,False,16,2,False,0,False,0,0,es_5391,0.0
252,2017,1,13008,CALCULO 2,2,False,19,3,False,0,False,0,0,es_6101,0.0
253,2017,1,13008,CALCULO 2,2,True,20,30,True,0,True,0,0,es_5396,5.0
254,2017,1,13008,CALCULO 2,2,False,14,9,True,0,True,0,0,es_6105,0.0
255,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4825,1.0
256,2017,1,13008,CALCULO 2,2,True,14,17,True,0,True,0,0,es_5407,2.0
257,2017,1,13008,CALCULO 2,2,True,24,22,True,0,True,0,0,es_6117,4.0
258,2017,1,13008,CALCULO 2,2,True,20,30,True,0,True,0,0,es_6118,5.0
259,2017,1,13008,CALCULO 2,2,False,20,11,True,0,True,0,0,es_4830,1.0
