,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
17033,1479.0,es_9801,2019,ELE-PLS13 ,1F-4,S,17,34,10,61,True,True,0,0,4.0,0.0,4.0,True
17034,1480.0,es_9802,2019,CIV-PLS13 ,1F-5,S,21,33,6,60,True,True,0,0,5.0,0.0,5.0,True
17035,1481.0,es_7006,2019,ELE-PLS13 ,,N,4,16,3,23,False,False,28,0,0.0,0.0,0.0,False
17036,1482.0,es_7008,2019,CIV-PLS13 ,,N,4,2,9,15,True,False,0,0,0.0,0.0,0.0,False
17037,1483.0,es_7011,2019,ELE-PLS13 ,,N,7,18,10,35,True,True,14,0,0.0,0.0,0.0,False
17038,1484.0,es_7014,2019,IND-PLS13 ,1F-2,S,22,15,9,46,True,True,0,0,2.0,0.0,2.0,True
17039,1485.0,es_9674,2019,ELE-PLS13 ,,N,2,0,5,7,False,False,0,0,0.0,0.0,0.0,False
17040,1486.0,es_7193,2019,MCT-PLS13 ,,N,8,9,9,26,True,False,22,0,0.0,0.0,0.0,False
17042,1488.0,es_9803,2019,ELE-PLS13 ,1F-2,S,24,15,6,45,True,True,0,0,2.0,0.0,2.0,True
17043,1489.0,es_9804,2019,MCT-PLS13 ,1F-5,S,23,35,7,65,True,True,0,0,5.0,0.0,5.0,True
17044,1490.0,es_9805,2019,ELE-PLS13 ,1F-5,S,18,36,10,64,True,True,0,0,5.0,0.0,5.0,True
17045,1491.0,es_7166,2019,CIV-PLS13 ,,N,12,11,7,30,True,False,18,0,0.0,0.0,0.0,False
17046,1492.0,es_9806,2019,ELE-PLS13 ,,N,17,5,4,26,False,False,0,0,0.0,0.0,0.0,False
17047,1493.0,es_7021,2019,MCT-PLS13 ,,N,1,1,8,10,False,False,0,0,0.0,0.0,0.0,False
17048,1494.0,es_7022,2019,CIV-PLS13 ,,N,3,4,6,13,False,False,0,0,0.0,0.0,0.0,False
