Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,0,16,2,0,1,1,0,0,es_5416,0.0
2017,1,13008,CALCULO 2,1,20,26,0,1,1,0,0,es_6130,3.0
2017,1,13008,CALCULO 2,0,19,0,0,0,0,0,0,es_4838,0.0
2017,1,13008,CALCULO 2,1,21,17,0,1,1,0,0,es_6134,3.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5418,2.0
2017,1,13008,CALCULO 2,1,18,19,0,1,1,0,0,es_6135,3.0
2017,1,13008,CALCULO 2,1,22,24,0,1,1,0,0,es_6136,5.0
2017,1,13008,CALCULO 2,1,20,0,0,1,1,0,0,es_5420,2.0
2017,1,13008,CALCULO 2,0,15,0,0,0,0,0,0,es_5421,0.0
2017,1,13008,CALCULO 2,0,24,19,0,1,1,0,0,es_5422,0.0
2017,1,13008,CALCULO 2,1,16,16,0,1,1,0,0,es_6138,4.0
2017,1,13008,CALCULO 2,1,22,20,0,1,1,0,0,es_6147,4.0
2017,1,13008,CALCULO 2,1,23,4,0,1,1,0,0,es_5429,4.0
2017,1,13008,CALCULO 2,1,21,21,0,1,1,0,0,es_6154,5.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4849,3.0
2017,1,13008,CALCULO 2,0,19,3,0,0,0,0,0,es_5433,0.0
2017,1,13008,CALCULO 2,1,24,23,0,1,1,0,0,es_6159,5.0
2017,1,13008,CALCULO 2,1,20,19,0,1,1,0,0,es_5437,4.0
2017,1,13008,CALCULO 2,0,17,0,0,0,0,0,0,es_6161,0.0
2017,1,13008,CALCULO 2,0,20,0,0,0,0,0,0,es_5438,0.0
2017,1,13008,CALCULO 2,0,9,7,0,0,0,0,0,es_6162,0.0
2017,1,13008,CALCULO 2,1,14,23,0,1,1,0,0,es_6163,2.0
2017,1,13008,CALCULO 2,1,24,11,0,1,1,0,0,es_4852,4.0
2017,1,13008,CALCULO 2,0,15,0,0,0,0,0,0,es_6168,0.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_6173,5.0
2017,1,13008,CALCULO 2,1,24,23,0,1,1,0,0,es_6176,5.0
2017,1,13008,CALCULO 2,1,18,9,0,1,1,0,0,es_6184,4.0
2017,1,13008,CALCULO 2,1,23,14,0,1,1,0,0,es_4857,4.0
