1P,2P,Taller,Aprobado
7,14,5,0
9,28,4,1
7,15,6,0
5,10,2,0
9,19,4,0
8,14,6,0
8,14,6,0
10,21,6,1
21,18,3,0
6,11,4,0
10,22,3,0
13,27,3,1
10,17,4,0
7,22,6,0
12,26,6,1
11,24,3,0
5,16,3,0
17,24,5,0
10,15,3,0
11,25,6,0
7,8,6,0
8,16,2,0
12,18,7,0
6,9,5,0
11,16,3,0
16,30,3,1
10,13,5,0
7,10,4,0
19,32,5,1
19,24,6,1
9,14,6,0
11,22,4,0
4,17,5,0
7,10,6,0
10,19,2,0
11,8,4,0
10,12,5,0
7,8,4,0
3,17,5,0
12,14,3,0
11,20,4,1
11,24,8,0
11,16,8,0
12,21,6,0
10,5,3,0
8,7,3,0
17,23,7,1
12,19,4,0
19,23,5,1
5,10,4,0
9,24,4,1
6,9,2,0
9,6,7,0
6,12,7,0
9,21,5,0
13,18,4,0
9,15,4,0
8,20,7,1
10,8,5,0
11,11,6,0
10,13,3,0
6,14,4,0
8,12,4,0
8,7,5,0
11,14,3,0
12,16,2,0
8,10,4,0
11,14,4,0
7,15,2,0
8,9,3,0
8,16,4,0
9,13,4,0
10,22,5,0
9,21,6,0
8,12,6,0
14,19,5,0
13,24,4,0
12,10,5,0
7,17,5,0
10,18,3,0
10,11,6,0
8,9,6,0
10,10,3,0
12,16,2,0
7,11,2,0
16,27,2,1
5,16,3,0
12,23,2,0
8,16,2,0
15,21,3,0
19,31,6,1
10,22,5,1
13,18,4,0
8,7,3,0
6,10,2,0
12,17,8,0
13,25,5,1
8,7,2,0
6,9,3,0
4,11,2,0
9,11,4,0
6,13,4,0
8,24,3,0
11,15,6,0
8,8,5,0
4,13,3,0
13,20,4,1
11,15,4,0
17,21,4,0
7,12,5,0
19,31,6,1
10,8,3,0
14,19,3,1
10,21,8,0
8,8,5,0
8,14,4,0
11,16,4,0
8,12,4,0
13,18,6,0
11,22,2,0
5,10,3,0
7,9,3,0
9,8,2,0
8,20,7,0
6,13,6,0
13,25,6,1
5,11,4,0
9,13,4,0
13,13,4,0
7,9,4,0
7,16,5,0
12,18,5,0
12,29,4,0
10,19,3,0
14,12,5,0
5,13,2,0
10,19,2,0
12,25,6,0
18,29,5,1
9,22,5,0
6,13,7,0
7,23,5,0
9,13,4,0
11,19,5,0
11,27,6,1
10,12,4,0
11,20,4,0
5,27,3,0
14,25,2,0
10,20,5,0
9,18,2,0
9,23,7,1
8,9,5,0
16,22,3,1
7,16,3,0
7,16,7,0
