,Unnamed: 0,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
392,4847,ELE-PLS13 ,0,0,3,15,0,22,20,
393,4848,CIV-PLS13 ,0,0,4,21,0,25,24,
394,4849,ELE-PLS13 ,1,2017,17,21,0,0,0,"1F-1,2F-2"
395,4850,CIV-PLS13 ,0,0,7,19,0,12,16,
396,4851,MCT-PLS13 ,0,0,5,12,0,6,20,
397,4852,IND-PLS13 ,0,0,12,16,0,16,20,
398,4853,CIV-PLS13 ,0,0,5,15,0,20,0,
399,4854,CIV-PLS13 ,0,0,4,11,0,12,10,
400,4855,MCT-PLS13 ,0,0,9,2,0,0,0,
401,4856,CIV-PLS13 ,0,2017,12,21,0,29,0,"2F-1,3F-1"
